TYPE,NUM,INFORMATIONLOSS
count_filter_age_lt_40_adult,16995,0.0
count_filter_age_lt_40_adult_mondrian_5,18445,-0.08531921153280386
count_filter_age_lt_40_adult_OLA_5,0,1.0
count_filter_age_lt_40_adult_flash_5_0,0,1.0
count_filter_age_lt_40_adult_flash_5_0_Age,0,1.0
count_filter_age_lt_40_adult_flash_5_0_Workclass,0,1.0
count_filter_age_lt_40_adult_flash_5_0_SalaryClass,0,1.0
count_filter_age_lt_40_adult_flash_5_0_CombinedWorkAgeSalary,0,1.0
count_filter_age_lt_40_adult_flash_5_4,17265,-0.015887025595763493
count_filter_age_lt_40_adult_flash_5_4_Age,16726,0.01582818476022363
count_filter_age_lt_40_adult_flash_5_4_Workclass,17308,-0.018417181523977533
count_filter_age_lt_40_adult_flash_5_4_SalaryClass,17265,-0.015887025595763493
count_filter_age_lt_40_adult_flash_5_4_CombinedWorkAgeSalary,16702,0.017240364813180364
